Status,Type,Price | Date,Address,Beds,Baths,Sqft,Lot Size Year Built $/sqft,
Off,,,,,,,,
"",LAND,–,4500 Valley View Ln,,,,,,
Market,,1/10/95,"Irving, TX 75038",–,–,–,1.55 acres,–,–
Off,,,,,,,,,
"",LAND,–,4500 Valley View Ln,,,,,,
Market,,2/20/95,"Irving, TX 75038",–,–,–,3.68 acres,–,–
Off,,,,,,,,,
"",LAND,–,4340 Valley View Ln,,,,,,
Market,,–,"Irving, TX 75038",–,–,–,0.63 acres,–,–
Off,,,,,,,,,
"",LAND,–,4312 Valley View Ln,,,,,,
Market,,–,"Irving, TX 75038",–,–,–,2.89 acres,–,–
Market,,–,"Irving, TX 75038",–,–,–,2.47 acres,–,–
Off,,,,,,,,,
"",LAND,–,4300 Valley View Ln,,,,,,
Market,,–,"Irving, TX 75038",–,–,–,1.35 acres,–,–
Off,,,,,,,,,
"",LAND,–,4190 Valley View Ln,,,,,,
Market,,1/8/97,"Irving, TX 75038",–,–,–,4.74 acres,–,–
Off,,,,,,,,,
"",LAND,–,3934 Valley View Ln,,,,,,
Market,,–,"Irving, TX 75062",–,–,–,0.41 acres,–,–
Market,,–,"Irving, TX 75062",–,–,–,"7,377 sqft",–,–
Off,,,,,,,,,
"",LAND,–,3686 Valley View Ln,,,,,,
Market,,–,"Irving, TX 75062",–,–,–,"7,377 sqft",–,–
Market,,–,"Irving, TX 75062",–,–,–,"7,377 sqft",–,–
Off,,,,,,,,,
"",LAND,–,3678 Valley View Ln,,,,,,
Market,,–,"Irving, TX 75062",–,–,–,"7,377 sqft",–,–
Off,,,,,,,,,
"",LAND,–,3676 Valley View Ln,,,,,,
Market,,–,"Irving, TX 75062",–,–,–,"7,377 sqft",–,–
Off,,,,,,,,,
"",LAND,–,3674 Valley View Ln,,,,,,
Market,,–,"Irving, TX 75062",–,–,–,"7,377 sqft",–,–
Off,,,,,,,,,
"",LAND,–,3666 Valley View Ln,,,,,,
Market,,–,"Irving, TX 75062",–,–,–,"7,377 sqft",–,–
Off,,,,,,,,,
"",LAND,–,3664 Valley View Ln,,,,,,
Market,,–,"Irving, TX 75062",–,–,–,"7,377 sqft",–,–
Off,,,,,,,,,
"",LAND,–,3662 Valley View Ln,,,,,,
Market,,–,"Irving, TX 75062",–,–,–,"7,377 sqft",–,–
Off,,,,,,,,,
"",LAND,–,3660 Valley View Ln,,,,,,
Market,,–,"Irving, TX 75062",–,–,–,"7,377 sqft",–,–
Off,,,,,,,,,
"",LAND,–,3600 Valley View Ln,,,,,,
Market,,–,"Irving, TX 75062",–,–,–,0.66 acres,–,–
Off,,,,,,,,,
"",LAND,–,3410 Valley View Ln,,,,,,
Market,,8/8/95,"Irving, TX 75062",–,–,–,0.66 acres,–,–
Off,,,,,,,,,
"",LAND,–,3400 Valley View Ln,,,,,,
